identity,role,target_altitude_deg,sza_deg,wavelength_nm,observer_altitude_km,aerosol_mode
r32-fresh-dev-0001,development,0.38,89.62,621,2.24,DEFAULT
r32-fresh-dev-0002,development,0.91,89.09,701,0.96,OFF
r32-fresh-dev-0003,development,1.46,88.54,445,1.52,DEFAULT
r32-fresh-dev-0004,development,2.08,87.92,589,2.07,OFF
r32-fresh-dev-0005,development,2.77,87.23,763,0.54,DEFAULT
r32-fresh-dev-0006,development,3.36,86.64,672,0.18,OFF
r32-fresh-dev-0007,development,4.09,85.91,526,0.73,DEFAULT
r32-fresh-dev-0008,development,4.86,85.14,413,1.21,OFF
r32-fresh-aud-0009,audit,1.19,88.81,487,0.31,OFF
r32-fresh-aud-0010,audit,3.73,86.27,557,1.88,DEFAULT
