table,x,response,note
hoya_cm500_1mm_transmittance,300,0.005,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,310,0.118,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,320,0.365,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,330,0.557,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,340,0.666,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,350,0.722,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,360,0.754,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,370,0.779,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,380,0.802,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,390,0.82,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,400,0.834,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,410,0.848,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,420,0.857,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,430,0.865,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,440,0.875,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,450,0.88,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,460,0.888,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,470,0.891,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,480,0.895,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,490,0.897,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,500,0.899,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,510,0.899,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,520,0.895,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,530,0.888,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,540,0.875,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,550,0.854,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,560,0.821,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,570,0.773,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,580,0.687,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,590,0.59,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,600,0.497,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,610,0.41,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,620,0.334,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,630,0.27,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,640,0.215,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,650,0.164,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,660,0.113,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,670,0.075,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,680,0.048,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,690,0.03,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,700,0.018,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,710,0.01,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,720,0.0056,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,730,0.0031,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,740,0.0017,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,750,0.001,manufacturer catalog transmittance
hoya_cm500_1mm_transmittance,800,0.00008,manufacturer catalog transmittance
sqm_combined_onaxis_response_digitization,320,0.02,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,340,0.08,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,360,0.17,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,380,0.28,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,400,0.38,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,420,0.48,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,440,0.57,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,460,0.66,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,480,0.76,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,500,0.86,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,520,0.94,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,540,1.0,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,560,0.98,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,580,0.9,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,600,0.76,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,620,0.58,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,640,0.39,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,660,0.23,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,680,0.12,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,700,0.06,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,720,0.025,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,740,0.01,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_combined_onaxis_response_digitization,750,0.006,engineering digitization of published Cinzano Fig. 8 solid SQM response; normalized
sqm_original_angular_response_digitization,0,1.0,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,5,0.99,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,10,0.97,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,15,0.94,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,20,0.885,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,25,0.815,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,30,0.73,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,35,0.63,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,40,0.535,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,42,0.5,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,45,0.395,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,50,0.225,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,55,0.1,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,60,0.032,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,65,0.005,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,70,0,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
sqm_original_angular_response_digitization,90,0,zenith distance deg; engineering digitization constrained by HWHM~42 deg and official 1.532 sr
constants,effective_solid_angle_sr,1.532,official Unihedron original-SQM value
constants,filter_refractive_index,1.55,Cinzano angle-dependence model
