wavelength_nm,a0,a1,a2,a3,b1,b2,b3,d1,d2,d3
350.0,-2.67511,-1.78539,0.50612,-0.25578,0.03744,0.00981,-0.00322,0.34185,0.01441,-0.01602
355.1,-2.71924,-1.74298,0.44523,-0.23315,0.03492,0.01142,-0.00383,0.33875,0.01612,-0.00996
405.0,-2.35754,-1.72134,0.40337,-0.21105,0.03505,0.01043,-0.00341,0.35235,-0.03818,-0.00006
412.3,-2.34185,-1.74337,0.42156,-0.21512,0.03141,0.01364,-0.00472,0.36591,-0.05902,0.00080
414.4,-2.43367,-1.72184,0.43600,-0.22675,0.03474,0.01188,-0.00422,0.35558,-0.03247,-0.00503
441.6,-2.31964,-1.72114,0.37286,-0.19304,0.03736,0.01545,-0.00559,0.37935,-0.09562,0.00970
465.8,-2.35085,-1.66538,0.41802,-0.22541,0.04274,0.01127,-0.00439,0.33450,-0.02546,-0.00484
475.0,-2.28999,-1.63180,0.36193,-0.20381,0.04007,0.01216,-0.00437,0.33024,-0.03131,0.00222
486.9,-2.23351,-1.68573,0.37632,-0.19877,0.03881,0.01566,-0.00555,0.36590,-0.08945,0.00678
544.0,-2.13864,-1.60613,0.27886,-0.16426,0.03833,0.01189,-0.00390,0.37190,-0.10629,0.01428
549.1,-2.10782,-1.66736,0.41697,-0.22026,0.03451,0.01452,-0.00517,0.36814,-0.09815,0.00000
553.8,-2.12504,-1.65970,0.38409,-0.20655,0.04052,0.01009,-0.00388,0.37206,-0.10745,0.00347
665.1,-1.88914,-1.58096,0.30477,-0.17908,0.04415,0.00983,-0.00389,0.37141,-0.13514,0.01248
693.1,-1.89410,-1.58509,0.28080,-0.16427,0.04429,0.00914,-0.00351,0.39109,-0.17048,0.01754
703.6,-1.92103,-1.60151,0.36924,-0.20567,0.04494,0.00987,-0.00386,0.37155,-0.13989,0.00412
745.3,-1.86896,-1.57522,0.33712,-0.19415,0.03967,0.01318,-0.00464,0.36888,-0.14828,0.00958
763.7,-1.85258,-1.47181,0.14377,-0.11589,0.04435,0.02000,-0.00738,0.39126,-0.16957,0.03053
774.8,-1.80271,-1.59357,0.36351,-0.20326,0.04710,0.01196,-0.00476,0.36908,-0.16182,0.00830
865.3,-1.74561,-1.58482,0.35009,-0.19569,0.04142,0.01612,-0.00550,0.39200,-0.18837,0.00978
