priority,case_id,event,source_date_utc,t_minus8_utc,t_minus7_utc,t_minus6_utc
0,2024-04-08_dawn,dawn,20240408,2024-04-08T11:29:18.545002Z,2024-04-08T11:34:27.589304Z,2024-04-08T11:39:35.526412Z
1,2024-03-09_dusk,dusk,20240310,2024-03-10T01:08:13.222402Z,2024-03-10T01:03:14.051468Z,2024-03-10T00:58:14.878601Z
2,2024-02-10_dawn,dawn,20240210,2024-02-10T12:47:24.268202Z,2024-02-10T12:52:30.487917Z,2024-02-10T12:57:37.612425Z
3,2024-02-08_dusk,dusk,20240209,2024-02-09T00:39:16.805063Z,2024-02-09T00:34:09.432376Z,2024-02-09T00:29:01.099671Z
4,2024-02-12_dawn,dawn,20240212,2024-02-12T12:45:31.996041Z,2024-02-12T12:50:37.263844Z,2024-02-12T12:55:43.374592Z
5,2024-02-06_dusk,dusk,20240207,2024-02-07T00:37:14.432406Z,2024-02-07T00:32:06.044288Z,2024-02-07T00:26:56.634444Z
6,2024-03-13_dawn,dawn,20240313,2024-03-13T12:08:23.737631Z,2024-03-13T12:13:22.606528Z,2024-03-13T12:18:21.361741Z
7,2024-03-05_dusk,dusk,20240306,2024-03-06T01:04:34.362702Z,2024-03-06T00:59:35.075834Z,2024-03-06T00:54:35.654749Z
8,2024-02-14_dawn,dawn,20240214,2024-02-14T12:43:34.238673Z,2024-02-14T12:48:38.602128Z,2024-02-14T12:53:43.746457Z
9,2024-02-04_dusk,dusk,20240205,2024-02-05T00:35:11.807891Z,2024-02-05T00:30:02.372571Z,2024-02-05T00:24:51.854293Z
10,2024-04-14_dawn,dawn,20240414,2024-04-14T11:20:26.489560Z,2024-04-14T11:25:40.065622Z,2024-04-14T11:30:52.256339Z
11,2024-02-16_dawn,dawn,20240216,2024-02-16T12:41:31.180662Z,2024-02-16T12:46:34.692226Z,2024-02-16T12:51:38.922411Z
12,2024-02-02_dusk,dusk,20240203,2024-02-03T00:33:09.120197Z,2024-02-03T00:27:58.612086Z,2024-02-03T00:22:46.960372Z
13,2024-03-01_dusk,dusk,20240302,2024-03-02T01:00:51.896523Z,2024-03-02T00:55:52.153394Z,2024-03-02T00:50:52.145935Z
14,2024-03-19_dawn,dawn,20240319,2024-03-19T11:59:34.098623Z,2024-03-19T12:04:33.922408Z,2024-03-19T12:09:33.425959Z
15,2024-04-18_dawn,dawn,20240418,2024-04-18T11:14:41.721892Z,2024-04-18T11:19:58.733749Z,2024-04-18T11:25:14.161481Z
16,2024-02-28_dusk,dusk,20240229,2024-02-29T00:58:59.165708Z,2024-02-29T00:53:59.071913Z,2024-02-29T00:48:58.649349Z
17,2024-02-20_dawn,dawn,20240220,2024-02-20T12:37:09.933647Z,2024-02-20T12:42:11.916715Z,2024-02-20T12:47:14.493438Z
18,2024-04-20_dawn,dawn,20240420,2024-04-20T11:11:53.123031Z,2024-04-20T11:17:11.968814Z,2024-04-20T11:22:29.126894Z
19,2024-02-26_dusk,dusk,20240227,2024-02-27T00:57:05.386053Z,2024-02-27T00:52:04.863095Z,2024-02-27T00:47:03.947257Z
