local_civil_date,event,window_start_utc,window_end_utc,t_minus6_utc,t_minus7_utc,t_minus8_utc,t_minus12_utc,nearest_sonde_file,nearest_sonde_delta_min,moon_alt_deg_screen,moon_illum_frac_screen,moon_elong_deg_screen,priority_reason,sasze_vis_file,hsrl_file,rlprofbe_file,arscl_file,ceil_file
2024-04-08,dawn,2024-04-08T10:58:29.562463Z,2024-04-08T11:49:35.526412Z,2024-04-08T11:39:35.526412Z,2024-04-08T11:34:27.589304Z,2024-04-08T11:29:18.545002Z,2024-04-08T11:08:29.562463Z,sgpsondewnpnC1.b1.20240408.112900.cdf,-5.5,-4.887083137760787,0.0011940431108311,3.960491607034763,moon_illum<=1pct,sgpsaszevisC1.a1.20240408.000001.nc,sgphsrlC1.a1.20240408.000030.nc,sgprlprofbeC1.c1.20240408.000500.nc,sgparsclkazr1kolliasC1.c0.20240408.000000.nc,sgpceilC1.b1.20240408.000006.nc
2024-03-09,dusk,2024-03-10T00:48:14.878601Z,2024-03-10T01:38:10.912717Z,2024-03-10T00:58:14.878601Z,2024-03-10T01:03:14.051468Z,2024-03-10T01:08:13.222402Z,2024-03-10T01:28:10.912717Z,sgpsondewnpnC1.b1.20240309.231700.cdf,-28.5,-12.208284543935996,0.0022478610818125,5.4350081802682215,moon_alt<=-10deg,sgpsaszevisC1.a1.20240310.000001.nc,sgphsrlC1.a1.20240310.000030.nc,sgprlprofbeC1.c1.20240310.000500.nc,sgparsclkazr1kolliasC1.c0.20240310.000000.nc,sgpceilC1.b1.20240310.000002.nc
2024-02-10,dawn,2024-02-10T12:17:07.271204Z,2024-02-10T13:07:37.612425Z,2024-02-10T12:57:37.612425Z,2024-02-10T12:52:30.487917Z,2024-02-10T12:47:24.268202Z,2024-02-10T12:27:07.271204Z,sgpsondewnpnC1.b1.20240210.112700.cdf,-11.9,-14.666077451814632,0.0061307446278974,8.981606009516026,moon_alt<=-10deg,sgpsaszevisC1.a1.20240210.000001.nc,sgphsrlC1.a1.20240210.000030.nc,sgprlprofbeC1.c1.20240210.000500.nc,sgparsclkazr1kolliasC1.c0.20240210.000000.nc,sgpceilC1.b1.20240210.000001.nc
2024-02-08,dusk,2024-02-09T00:19:01.099671Z,2024-02-09T01:09:37.901206Z,2024-02-09T00:29:01.099671Z,2024-02-09T00:34:09.432376Z,2024-02-09T00:39:16.805063Z,2024-02-09T00:59:37.901206Z,sgpsondewnpnC1.b1.20240208.233000.cdf,10.1,-20.87005994665322,0.0148876681218877,14.016820250607095,moon_alt<=-10deg,sgpsaszevisC1.a1.20240209.000000.nc,sgphsrlC1.a1.20240209.000000.nc,sgprlprofbeC1.c1.20240209.000500.nc,sgparsclkazr1kolliasC1.c0.20240209.000000.nc,sgpceilC1.b1.20240209.000003.nc
2024-02-12,dawn,2024-02-12T12:15:18.218875Z,2024-02-12T13:05:43.374592Z,2024-02-12T12:55:43.374592Z,2024-02-12T12:50:37.263844Z,2024-02-12T12:45:31.996041Z,2024-02-12T12:25:18.218875Z,sgpsondewnpnC1.b1.20240212.113100.cdf,-15.5,-26.962423795461486,0.0971039601659146,36.31317979340821,moon_alt<=-10deg,sgpsaszevisC1.a1.20240212.000000.nc,sgphsrlC1.a1.20240212.000030.nc,sgprlprofbeC1.c1.20240212.000500.nc,sgparsclkazr1kolliasC1.c0.20240212.000000.nc,sgpceilC1.b1.20240212.000012.nc
2024-02-06,dusk,2024-02-07T00:16:56.634444Z,2024-02-07T01:07:39.007927Z,2024-02-07T00:26:56.634444Z,2024-02-07T00:32:06.044288Z,2024-02-07T00:37:14.432406Z,2024-02-07T00:57:39.007927Z,sgpsondewnpnC1.b1.20240206.233300.cdf,20.6,-46.60291306069626,0.1209231305086018,40.69829516998945,moon_alt<=-10deg,sgpsaszevisC1.a1.20240207.000001.nc,sgphsrlC1.a1.20240207.000030.nc,sgprlprofbeC1.c1.20240207.000500.nc,sgparsclkazr1kolliasC1.c0.20240207.000000.nc,sgpceilC1.b1.20240207.000007.nc
2024-03-13,dawn,2024-03-13T11:38:26.085435Z,2024-03-13T12:28:21.361741Z,2024-03-13T12:18:21.361741Z,2024-03-13T12:13:22.606528Z,2024-03-13T12:08:23.737631Z,2024-03-13T11:48:26.085435Z,sgpsondewnpnC1.b1.20240313.113100.cdf,18.0,-23.58706002726017,0.1385167509776204,43.70005372824731,moon_alt<=-10deg,sgpsaszevisC1.a1.20240313.000000.nc,sgphsrlC1.a1.20240313.000000.nc,sgprlprofbeC1.c1.20240313.000500.nc,sgparsclkazr1kolliasC1.c0.20240313.000000.nc,sgpceilC1.b1.20240313.000012.nc
2024-03-05,dusk,2024-03-06T00:44:35.654749Z,2024-03-06T01:34:31.174070Z,2024-03-06T00:54:35.654749Z,2024-03-06T00:59:35.075834Z,2024-03-06T01:04:34.362702Z,2024-03-06T01:24:31.174070Z,sgpsondewnpnC1.b1.20240305.232900.cdf,-10.8,-66.12053117550644,0.2514650787354123,60.1936690505555,moon_alt<=-10deg,sgpsaszevisC1.a1.20240306.000001.nc,sgphsrlC1.a1.20240306.000000.nc,sgprlprofbeC1.c1.20240306.000500.nc,sgparsclkazr1kolliasC1.c0.20240306.000000.nc,sgpceilC1.b1.20240306.000011.nc
2024-02-14,dawn,2024-02-14T12:13:23.486338Z,2024-02-14T13:03:43.746457Z,2024-02-14T12:53:43.746457Z,2024-02-14T12:48:38.602128Z,2024-02-14T12:43:34.238673Z,2024-02-14T12:23:23.486338Z,sgpsondewnpnC1.b1.20240214.113000.cdf,-1.3,-32.6002542382163,0.2758457610260062,63.36479065994796,moon_alt<=-10deg,sgpsaszevisC1.a1.20240214.000004.nc,sgphsrlC1.a1.20240214.000000.nc,sgprlprofbeC1.c1.20240214.000500.nc,sgparsclkazr1kolliasC1.c0.20240214.000000.nc,sgpceilC1.b1.20240214.000008.nc
2024-02-04,dusk,2024-02-05T00:14:51.854293Z,2024-02-05T01:05:39.996686Z,2024-02-05T00:24:51.854293Z,2024-02-05T00:30:02.372571Z,2024-02-05T00:35:11.807891Z,2024-02-05T00:55:39.996686Z,sgpsondewnpnC1.b1.20240204.233500.cdf,9.1,-67.82067372047722,0.2962954194444434,65.95781406933614,moon_alt<=-10deg,sgpsaszevisC1.a1.20240205.000001.nc,sgphsrlC1.a1.20240205.000000.nc,sgprlprofbeC1.c1.20240205.000500.nc,sgparsclkazr1kolliasC1.c0.20240205.000000.nc,sgpceilC1.b1.20240205.000011.nc
